Zhangye, China, pop=1131016
Ufa, Russia, pop=1128787
Santo Domingo, Dominican Republic, pop=1128678
Ulsan, Korea, South, pop=1127553
Rongcheng, China, pop=1120822
Tbilisi, Georgia, pop=1118035
Guwāhāti, India, pop=1116267
Fès, Morocco, pop=1112072
Yingchuan, China, pop=1109782
Ninh Bình, Vietnam, pop=1106913
Yerevan, Armenia, pop=1106300
Mwanza, Tanzania, pop=1104521
Omsk, Russia, pop=1104485
Mexicali, Mexico, pop=1102342
Sevilla, Spain, pop=1100000
Ikare, Nigeria, pop=1099931
Dingzhou, China, pop=1095986
Tamale, Ghana, pop=1095808
Yuyao, China, pop=1095000
Goiânia, Brazil, pop=1093007
Krasnoyarsk, Russia, pop=1092851
Cologne, Germany, pop=1087353
Ubungo, Tanzania, pop=1086912
Yicheng, China, pop=1082929
Richmond, United States, pop=1081248
Kisangani, Congo (Kinshasa), pop=1081000
Ezhou, China, pop=1079353
Astana, Kazakhstan, pop=1078362
Zhufeng, China, pop=1078178
Nezahualcóyotl, Mexico, pop=1077208
Nouakchott, Mauritania, pop=1077169
Hāora, India, pop=1077075
Tongjin, Korea, South, pop=1076369
Rānchi, India, pop=1073440
Ciudad Nezahualcóyotl, Mexico, pop=1072676
Gwalior, India, pop=1069276
Ottawa, Canada, pop=1068821
Haicheng, China, pop=1067905
Jianguang, China, pop=1065641
Goyang, Korea, South, pop=1061929
Sendai, Japan, pop=1061177
Xibeijie, China, pop=1055706
Chandīgarh, India, pop=1055450
Voronezh, Russia, pop=1051995
Managua, Nicaragua, pop=1051236
Zhongwei, China, pop=1046000
Jiancheng, China, pop=1045900
Mersin, Turkey, pop=1040507
Shouguang, China, pop=1039205
Liangshi, China, pop=1038416
São Luís, Brazil, pop=1037775
Jodhpur, India, pop=1033918
Memphis, United States, pop=1033394
Matola, Mozambique, pop=1032197
Ogbomoso, Nigeria, pop=1032000
Sanya, China, pop=1031396
Rangapukur, Bangladesh, pop=1031388
Ashgabat, Turkmenistan, pop=1030063
Enugu, Nigeria, pop=1029400
Linhai, China, pop=1028813
Perm, Russia, pop=1026908
Shubrā al Khaymah, Egypt, pop=1025569
Monrovia, Liberia, pop=1021762
Islamabad, Pakistan, pop=1014825
Xinyi, China, pop=1013900
Thủ Đức, Vietnam, pop=1013795
Āqchah, Afghanistan, pop=1012000
Odesa, Ukraine, pop=1010537
Raipur, India, pop=1010087
Namangan, Uzbekistan, pop=1010000
Changwon, Korea, South, pop=1009998
Arequipa, Peru, pop=1008290
Tshikapa, Congo (Kinshasa), pop=1006387
Volgograd, Russia, pop=1004763
Morelia, Mexico, pop=1002461
Kota, India, pop=1001694
Quetta, Pakistan, pop=1001205
Oklahoma City, United States, pop=1000207
Domaa-Ahenkro, Ghana, pop=1000000
Bareilly, India, pop=1000000
Palenga, Uganda, pop=null
Makedonska Kamenica, North Macedonia, pop=null
Dalandzadgad, Mongolia, pop=null
Plymouth, Montserrat, pop=null
Tevragh Zeina, Mauritania, pop=null
Santa Luċija, Malta, pop=null
Rasdhoo, Maldives, pop=null
Dhihdhoo, Maldives, pop=null
Muli, Maldives, pop=null
Fonadhoo, Maldives, pop=null
Nilandhoo, Maldives, pop=null
Thulusdhoo, Maldives, pop=null
Balaka, Malawi, pop=null
Neno, Malawi, pop=null
Chikwawa, Malawi, pop=null
Wé, New Caledonia, pop=null
Las Delicias, Mexico, pop=null
Abakaliki, Nigeria, pop=null
Yenagoa, Nigeria, pop=null
Gombe, Nigeria, pop=null
Isemi-Ile, Nigeria, pop=null
Jitpur, Nepal, pop=null
Manukau City, New Zealand, pop=null
Şūr, Oman, pop=null
Haymā’, Oman, pop=null
Şuḩār, Oman, pop=null
‘Ibrī, Oman, pop=null
Aş Şuwayḩirah as Sāḩil, Oman, pop=null
Unión Chocó, Panama, pop=null
Sieyik, Panama, pop=null
Kurumul, Papua New Guinea, pop=null
Pili, Philippines, pop=null
Buka, Papua New Guinea, pop=null
Tabuk, Philippines, pop=null
San Jose, Philippines, pop=null
Santa Cruz, Philippines, pop=null
Koronadal, Philippines, pop=null
Az̧ Z̧a‘āyin, Qatar, pop=null
Umm Şalāl ‘Alī, Qatar, pop=null
Madīnat ash Shamāl, Qatar, pop=null
Bosilegrad, Serbia, pop=null
Žagubica, Serbia, pop=null
Požega, Serbia, pop=null
Doljevac, Serbia, pop=null
Boljevac, Serbia, pop=null
Ljubovija, Serbia, pop=null
Babušnica, Serbia, pop=null
Preševo, Serbia, pop=null
Ljig, Serbia, pop=null
Mali Zvornik, Serbia, pop=null
Priboj, Serbia, pop=null
Koceljeva, Serbia, pop=null
Bojnik, Serbia, pop=null
Žabari, Serbia, pop=null
Nordvik, Russia, pop=null
Trgovište, Serbia, pop=null
Logashkino, Russia, pop=null
Noginsk, Russia, pop=null
Pechora, Russia, pop=null
Mikhalkino, Russia, pop=null
Ambarchik, Russia, pop=null
Al Ḩillah, Saudi Arabia, pop=null
Taro, Solomon Islands, pop=null
Rabak, Sudan, pop=null
Al Mijlad, Sudan, pop=null
El Fula, Sudan, pop=null
Edinburgh of the Seven Seas, Saint Helena, Ascension, and Tristan da Cunha, pop=null
Georgetown, Saint Helena, Ascension, and Tristan da Cunha, pop=null
Žetale, Slovenia, pop=null
Šentilj, Slovenia, pop=null
Žužemberk, Slovenia, pop=null
Zavrč, Slovenia, pop=null
Ceerigaabo, Somalia, pop=null
Laascaanood, Somalia, pop=null
Sédhiou, Senegal, pop=null
Boorama, Somalia, pop=null
Dar‘ā, Syria, pop=null
Nhlangano, Eswatini, pop=null
Pala, Chad, pop=null
Bardaï, Chad, pop=null
Kara, Togo, pop=null
Ban Huai Hin, Thailand, pop=null
Lospalos, Timor-Leste, pop=null
Aileu, Timor-Leste, pop=null
Pante Macassar, Timor-Leste, pop=null
Suai, Timor-Leste, pop=null
